Age,Gender,University,Department,Year,Current CGPA,Stress value,Anxiety value,Depression value
18-22,Male,United International University (UIU),Engineering - CS ,2,2.50 - 2.99,0.6739130434782606,0.6833333333333335,0.6424242424242427
23-26,Female,Dhaka University of Engineering and Technology (DUET),Engineering - Mechanical Engineering ,3,2.50 - 2.99,0.5760869565217391,0.5,0.5727272727272728
23-26,Male,Dhaka University (DU),Biological Sciences,3,3.00 - 3.39,0.4021739130434782,0.4166666666666667,0.3272727272727273
18-22,Female,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,2,3.00 - 3.39,0.8695652173913041,0.8000000000000002,0.7181818181818183
18-22,Male,Islamic University of Technology (IUT),Engineering - Mechanical Engineering ,1,Other,0.7826086956521738,0.6000000000000001,0.4757575757575757
18-22,Female,Islamic University of Technology (IUT),Engineering - CS ,1,3.40 - 3.79,0.7717391304347824,1.0,0.6212121212121212
23-26,Female,Patuakhali Science and Technology University,Engineering - CS ,3,3.40 - 3.79,0.4456521739130434,0.25000000000000006,0.0
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.40 - 3.79,0.760869565217391,0.8000000000000002,0.26969696969696966
23-26,Male,Dhaka University (DU),Other,4,3.00 - 3.39,0.5108695652173911,0.7166666666666668,0.875757575757576
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,Below 2.50,0.3152173913043478,0.18333333333333335,0.09090909090909091
18-22,Male,Dhaka University (DU),Biological Sciences,3,3.00 - 3.39,0.23913043478260865,0.18333333333333335,0.36363636363636365
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.40 - 3.79,0.6086956521739129,0.6166666666666667,0.6212121212121212
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.80 - 4.00,0.42391304347826075,0.3666666666666667,0.3787878787878788
23-26,Female,Dhaka University (DU),Other,3,2.50 - 2.99,0.5869565217391302,0.4833333333333334,0.3212121212121212
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,3.80 - 4.00,0.8043478260869563,1.0,1.0
27-30,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,4,2.50 - 2.99,0.7282608695652172,0.8833333333333334,0.33333333333333337
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,2,3.00 - 3.39,0.6521739130434779,0.4833333333333334,0.4303030303030303
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,3.40 - 3.79,0.5652173913043478,1.0,0.8787878787878788
18-22,Male,Rajshahi University of Engineering and Technology (RUET),Engineering - CS ,1,2.50 - 2.99,0.6086956521739129,0.4833333333333334,0.41818181818181827
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,2.50 - 2.99,0.5,0.3333333333333333,0.3333333333333333
18-22,Female,American International University Bangladesh (AIUB),Engineering - CS ,2,3.40 - 3.79,0.4999999999999999,0.55,0.6212121212121213
23-26,Male,Bangladesh University of Engineering and Technology (BUET),Engineering - EEE,4,3.00 - 3.39,0.4021739130434782,0.3666666666666667,0.2272727272727273
23-26,Male,Patuakhali Science and Technology University,Engineering - CS ,4,3.80 - 4.00,1.0,0.0,1.0
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,Below 2.50,0.5,0.0,0.0
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,4,2.50 - 2.99,0.5326086956521738,0.45,0.41818181818181827
23-26,Male,North South University (NSU),Engineering - CS ,4,2.50 - 2.99,0.4456521739130434,0.8166666666666668,0.8030303030303032
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.80 - 4.00,0.5869565217391303,0.3333333333333333,0.3333333333333333
23-26,Male,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,3,3.00 - 3.39,0.48913043478260865,0.06666666666666667,0.030303030303030307
23-26,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.80 - 4.00,0.6956521739130433,0.8999999999999998,0.584848484848485
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,3.80 - 4.00,0.39130434782608686,0.6000000000000001,0.3060606060606061
18-22,Female,Islamic University of Technology (IUT),Engineering - EEE,1,Other,0.826086956521739,1.0,0.8636363636363639
18-22,Male,Islamic University of Technology (IUT),Engineering - EEE,1,Other,0.6956521739130433,0.7000000000000002,0.4727272727272728
23-26,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,4,3.00 - 3.39,0.7173913043478259,0.7666666666666666,0.5303030303030303
18-22,Male,Patuakhali Science and Technology University,Engineering - CS ,1,3.00 - 3.39,0.7826086956521738,0.9333333333333332,0.9090909090909093
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,3.80 - 4.00,0.5978260869565215,0.6833333333333335,0.6666666666666666
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,3.00 - 3.39,0.7499999999999999,0.7666666666666669,0.6575757575757576
18-22,Male,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,2,2.50 - 2.99,0.7173913043478258,0.8333333333333334,0.5757575757575758
23-26,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.40 - 3.79,0.9239130434782608,0.8000000000000002,0.5363636363636364
18-22,Female,Dhaka University (DU),Biological Sciences,3,3.00 - 3.39,0.8913043478260868,0.6166666666666667,0.6515151515151515
18-22,Female,Rajshahi University of Engineering and Technology (RUET),Engineering - CS ,2,3.80 - 4.00,0.5543478260869563,0.7500000000000001,0.8484848484848485
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,Other,0.5869565217391303,0.5333333333333334,0.36363636363636365
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,3.40 - 3.79,0.5869565217391302,0.5666666666666668,0.3848484848484849
18-22,Prefer not to say,Islamic University of Technology (IUT),Engineering - CS ,4,3.00 - 3.39,0.8369565217391303,1.0,0.9636363636363636
23-26,Female,Dhaka University (DU),Biological Sciences,4,3.40 - 3.79,0.5760869565217389,0.4000000000000001,0.34848484848484856
18-22,Female,"Independent University, Bangladesh (IUB)",Environmental and Life Sciences,2,3.40 - 3.79,0.5108695652173912,0.5666666666666667,0.3757575757575758
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.00 - 3.39,0.5217391304347825,0.7000000000000001,0.5515151515151516
18-22,Male,Islamic University of Technology (IUT),Engineering - Civil Engineering ,2,3.00 - 3.39,0.760869565217391,0.6166666666666668,0.8606060606060607
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.3804347826086955,0.2833333333333333,0.4333333333333333
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,3.00 - 3.39,0.4999999999999999,0.3666666666666667,0.3939393939393939
18-22,Female,Islamic University of Technology (IUT),Engineering - EEE,3,3.40 - 3.79,0.934782608695652,0.8000000000000002,0.693939393939394
18-22,Male,Islamic University of Technology (IUT),Engineering - EEE,3,3.40 - 3.79,0.8478260869565215,0.9666666666666668,0.7393939393939396
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.00 - 3.39,0.08695652173913042,0.46666666666666673,0.2212121212121212
23-26,Male,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,2,2.50 - 2.99,0.8043478260869563,0.9666666666666668,0.8636363636363639
18-22,Male,Islamic University of Technology (IUT),Engineering - CS ,3,3.40 - 3.79,0.7282608695652172,0.46666666666666673,0.5
23-26,Female,Dhaka University (DU),Biological Sciences,4,3.40 - 3.79,0.8913043478260868,0.6,0.8242424242424243
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,3.80 - 4.00,0.5217391304347825,0.6666666666666666,0.6666666666666666
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,2,3.00 - 3.39,0.45652173913043465,0.2333333333333333,0.2393939393939394
23-26,Female,Dhaka University (DU),Environmental and Life Sciences,4,3.40 - 3.79,0.3478260869565217,0.4666666666666666,0.3060606060606061
23-26,Female,Dhaka University (DU),Biological Sciences,4,3.00 - 3.39,0.7717391304347824,0.46666666666666673,0.6575757575757576
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,2,3.00 - 3.39,0.7826086956521738,0.3333333333333333,0.3333333333333333
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,Other,0.41304347826086946,0.39999999999999997,0.44242424242424244
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,3,3.00 - 3.39,0.8043478260869563,0.7833333333333335,0.8545454545454547
23-26,Male,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,4,2.50 - 2.99,0.5108695652173911,0.7666666666666666,0.24242424242424246
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,2,3.40 - 3.79,0.6521739130434782,0.6666666666666666,0.7969696969696971
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - EEE,4,3.00 - 3.39,0.7499999999999998,0.9,0.66969696969697
18-22,Male,East West University (EWU),Engineering - CS ,4,2.50 - 2.99,0.5217391304347825,0.3333333333333333,0.3575757575757576
18-22,Female,Islamic University of Technology (IUT),Engineering - CS ,2,3.40 - 3.79,0.8695652173913043,0.6833333333333335,0.8484848484848485
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,2.50 - 2.99,0.7826086956521736,0.6666666666666666,0.5727272727272728
18-22,Male,Islamic University of Technology (IUT),Engineering - EEE,1,Other,0.8804347826086956,0.7666666666666666,0.7575757575757578
23-26,Female,Bangladesh University of Engineering and Technology (BUET),Engineering - CS ,0,3.00 - 3.39,0.5326086956521738,0.3333333333333333,0.33939393939393936
18-22,Prefer not to say,BRAC University,Engineering - CS ,2,Other,0.43478260869565216,0.6833333333333335,0.8303030303030303
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.00 - 3.39,0.0869565217391304,0.09999999999999999,0.16666666666666669
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,2,3.00 - 3.39,0.5978260869565215,0.5166666666666667,0.34848484848484845
23-26,Male,Dhaka University (DU),Biological Sciences,4,3.00 - 3.39,0.4456521739130434,0.5666666666666667,0.296969696969697
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.4782608695652174,0.46666666666666673,0.6424242424242425
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,4,3.00 - 3.39,0.4565217391304346,0.3,0.30909090909090914
18-22,Female,BRAC University,Engineering - CS ,1,3.40 - 3.79,0.6413043478260868,0.4166666666666667,0.5363636363636364
23-26,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,2.50 - 2.99,0.467391304347826,0.7000000000000001,0.6727272727272727
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.40 - 3.79,0.8695652173913041,0.85,0.596969696969697
18-22,Male,East West University (EWU),Engineering - CS ,2,2.50 - 2.99,0.7391304347826085,1.0,0.8393939393939396
23-26,Male,"Independent University, Bangladesh (IUB)",Environmental and Life Sciences,4,2.50 - 2.99,0.967391304347826,1.0,0.787878787878788
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.2934782608695652,0.5833333333333334,0.13636363636363638
23-26,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.00 - 3.39,0.7065217391304347,0.8333333333333334,1.0
23-26,Female,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,2,3.40 - 3.79,0.5869565217391303,0.4666666666666666,0.5212121212121213
18-22,Male,North South University (NSU),Engineering - CS ,3,3.00 - 3.39,0.8695652173913043,1.0,1.0
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,2.50 - 2.99,0.6630434782608694,0.7833333333333332,0.6666666666666666
18-22,Male,Rajshahi University of Engineering and Technology (RUET),Engineering - EEE,2,3.40 - 3.79,0.5652173913043478,0.6,0.6151515151515151
18-22,Female,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,3,Below 2.50,0.4239130434782608,0.4000000000000001,0.4696969696969698
18-22,Female,American International University Bangladesh (AIUB),Engineering - CS ,4,3.00 - 3.39,0.5,0.3333333333333333,0.6666666666666666
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,4,3.00 - 3.39,0.5543478260869565,0.5500000000000002,0.13030303030303034
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,4,3.80 - 4.00,0.8586956521739129,0.7666666666666666,0.4696969696969698
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - EEE,4,2.50 - 2.99,0.48913043478260865,0.85,0.7636363636363637
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.684782608695652,0.6333333333333334,0.6666666666666666
18-22,Female,American International University Bangladesh (AIUB),Engineering - CS ,2,3.80 - 4.00,0.5108695652173912,0.7666666666666667,0.24242424242424246
23-26,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.00 - 3.39,0.8695652173913041,0.8999999999999998,0.8787878787878789
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,4,2.50 - 2.99,0.5326086956521738,0.6666666666666669,0.4575757575757576
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.80 - 4.00,0.902173913043478,0.7166666666666668,0.7484848484848485
18-22,Female,American International University Bangladesh (AIUB),Engineering - CS ,1,2.50 - 2.99,0.4782608695652173,0.4166666666666667,0.3242424242424243
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.30434782608695643,0.35000000000000003,0.24242424242424246
18-22,Female,Islamic University of Technology (IUT),Engineering - CS ,2,3.40 - 3.79,0.8369565217391303,0.9,0.8151515151515154
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,2.50 - 2.99,0.5869565217391303,0.5833333333333334,0.6060606060606061
23-26,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,Below 2.50,0.6630434782608694,0.8000000000000002,0.681818181818182
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,3.40 - 3.79,0.684782608695652,0.3666666666666667,0.38181818181818183
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.80 - 4.00,0.6086956521739129,0.38333333333333336,0.3181818181818181
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.45652173913043476,0.5666666666666668,0.4151515151515152
18-22,Male,"Independent University, Bangladesh (IUB)",Other,1,Other,0.4456521739130434,0.4666666666666666,0.36363636363636365
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,4,3.00 - 3.39,0.4130434782608695,0.13333333333333333,0.19393939393939397
23-26,Male,Bangladesh University of Engineering and Technology (BUET),Engineering - CS ,4,3.00 - 3.39,0.5869565217391303,0.44999999999999996,0.35454545454545455
18-22,Female,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,0,Other,0.6413043478260868,0.8833333333333334,0.6030303030303032
18-22,Female,Islamic University of Technology (IUT),Engineering - CS ,3,3.40 - 3.79,0.7391304347826083,0.6333333333333334,0.787878787878788
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,2.50 - 2.99,0.891304347826087,1.0,0.9181818181818183
23-26,Female,"Independent University, Bangladesh (IUB)",Business and Entrepreneurship Studies,3,3.00 - 3.39,0.3913043478260869,0.35000000000000003,0.5545454545454546
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,2.50 - 2.99,0.31521739130434784,0.46666666666666673,0.5242424242424243
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,3.40 - 3.79,0.46739130434782594,0.55,0.27272727272727276
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,4,3.40 - 3.79,0.31521739130434784,0.21666666666666667,0.1575757575757576
18-22,Female,East West University (EWU),Engineering - CS ,2,3.00 - 3.39,0.5869565217391304,0.7000000000000001,0.8727272727272726
23-26,Female,Bangladesh Agricultural University (BAU),Biological Sciences,0,3.80 - 4.00,0.826086956521739,0.36666666666666664,0.7878787878787878
23-26,Male,Bangladesh University of Engineering and Technology (BUET),Engineering - CS ,4,2.50 - 2.99,0.5543478260869564,0.55,0.40909090909090906
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,Below 2.50,0.5217391304347825,0.6000000000000001,0.3333333333333333
23-26,Male,Bangladesh University of Engineering and Technology (BUET),Engineering - Civil Engineering ,4,Below 2.50,0.7065217391304346,1.0,0.8606060606060606
18-22,Female,Dhaka University (DU),Other,2,3.40 - 3.79,0.3478260869565217,0.41666666666666674,0.5212121212121212
18-22,Male,Islamic University of Technology (IUT),Business and Entrepreneurship Studies,3,3.40 - 3.79,0.793478260869565,0.6666666666666666,0.42424242424242425
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - EEE,2,Below 2.50,0.21739130434782608,0.03333333333333333,0.03636363636363636
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,Other,0.5,0.0,0.7818181818181819
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,3.40 - 3.79,0.728260869565217,0.8333333333333335,0.7666666666666668
18-22,Female,North South University (NSU),Engineering - CS ,1,2.50 - 2.99,0.40217391304347816,0.36666666666666675,0.4272727272727272
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.00 - 3.39,0.5,1.0,0.3333333333333333
18-22,Male,Rajshahi University (RU),Engineering - EEE,1,Other,0.7173913043478259,0.5833333333333334,0.5212121212121212
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.40 - 3.79,0.3369565217391303,0.4000000000000001,0.4151515151515152
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - CS ,4,2.50 - 2.99,0.6195652173913043,0.85,0.4757575757575757
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,3,2.50 - 2.99,0.7826086956521737,0.8333333333333334,0.5636363636363637
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,3.80 - 4.00,0.5108695652173912,0.3333333333333333,0.24848484848484848
23-26,Male,United International University (UIU),Engineering - CS ,4,2.50 - 2.99,0.6304347826086955,0.43333333333333335,0.5151515151515151
18-22,Male,"Independent University, Bangladesh (IUB)",Environmental and Life Sciences,2,2.50 - 2.99,0.108695652173913,0.0,0.0
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,3,3.00 - 3.39,0.5,0.3333333333333333,0.3333333333333333
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,1,Below 2.50,0.6739130434782608,0.7833333333333335,0.5333333333333333
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,Other,0.0,0.0,0.27272727272727276
23-26,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,4,3.00 - 3.39,0.5,0.5333333333333333,0.6212121212121212
23-26,Male,Dhaka University of Engineering and Technology (DUET),Engineering - Mechanical Engineering ,3,3.40 - 3.79,0.3586956521739129,0.5166666666666667,0.26666666666666666
23-26,Female,Dhaka University (DU),Business and Entrepreneurship Studies,2,3.00 - 3.39,0.5652173913043478,0.41666666666666674,0.4606060606060606
18-22,Male,Islamic University of Technology (IUT),Engineering - CS ,3,Other,0.83695652173913,0.5333333333333333,0.7484848484848485
18-22,Male,Islamic University of Technology (IUT),Engineering - CS ,3,3.40 - 3.79,0.6195652173913043,1.0,0.6818181818181819
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,2.50 - 2.99,0.5,0.65,0.8484848484848485
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.6086956521739129,0.4833333333333334,0.31212121212121213
23-26,Male,American International University Bangladesh (AIUB),Engineering - CS ,0,3.00 - 3.39,0.5652173913043479,0.5333333333333334,0.6060606060606062
Above 30,Male,Islamic University of Technology (IUT),Engineering - EEE,1,3.00 - 3.39,0.7499999999999997,0.7833333333333332,0.6757575757575758
23-26,Male,"Independent University, Bangladesh (IUB)",Engineering - CS ,4,3.00 - 3.39,0.7499999999999998,0.85,0.5909090909090909
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.40 - 3.79,0.6739130434782608,0.6833333333333332,0.8696969696969697
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,2,3.40 - 3.79,0.8043478260869563,1.0,1.0
23-26,Male,Dhaka University (DU),Business and Entrepreneurship Studies,0,3.40 - 3.79,0.7717391304347825,0.6000000000000001,0.39999999999999997
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS ,2,2.50 - 2.99,0.6630434782608693,0.6000000000000001,0.3636363636363637
23-26,Male,Islamic University of Technology (IUT),Engineering - CS ,1,3.80 - 4.00,0.7826086956521738,1.0,0.6484848484848487
18-22,Male,Islamic University of Technology (IUT),Engineering - EEE,1,Other,0.4999999999999999,0.46666666666666673,0.34848484848484845
23-26,Male,Dhaka University (DU),Environmental and Life Sciences,3,2.50 - 2.99,0.3478260869565217,0.19999999999999998,0.36363636363636365
18-22,Female,American International University Bangladesh (AIUB),Engineering - CS ,4,3.40 - 3.79,0.8586956521739129,0.7333333333333334,0.5575757575757576
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,1,3.00 - 3.39,0.7608695652173912,0.7500000000000001,0.787878787878788
18-22,Male,American International University Bangladesh (AIUB),Engineering - CS ,4,3.00 - 3.39,0.8043478260869563,0.8833333333333332,0.7121212121212122
